,city,clouds,humidity,tempf,pressure,wind speed,latitude,longitude
413,Ilula,48,89,57.41,859.47,2.07,-7.68,36.04
414,Aklavik,20,48,39.18,1021.0,4.1,68.22,-135.01
415,Slupsk,80,100,52.1,1008.54,18.12,54.46,17.03
416,Nouakchott,20,92,81.17,1024.99,6.27,18.08,-15.98
417,Leningradskiy,64,85,42.65,1008.7,6.27,69.38,178.42
418,Kailua,40,71,84.95,1014.0,3.6,21.39,-157.74
419,Belmonte,0,64,45.62,969.79,1.97,40.36,-7.35
420,Kiama,44,62,68.57,1010.57,2.37,-34.67,150.86
421,Pimenta Bueno,0,83,77.93,992.49,0.87,-11.68,-61.19
422,Rurrenabaque,24,89,76.85,953.58,0.97,-14.44,-67.53
423,Namatanai,20,95,84.77,1017.94,1.87,-3.66,152.44
424,Nabire,80,95,71.63,949.93,1.17,-3.36,135.5
425,Qaqortoq,88,55,35.58,1014.0,2.1,60.72,-46.03
426,Chulman,32,72,31.22,924.48,1.22,56.84,124.9
427,Sungairaya,68,97,76.85,1013.89,1.62,0.7,108.9
428,Namibe,12,99,67.13,1021.83,1.42,-15.19,12.15
429,Cotonou,40,88,78.78,1012.0,3.6,6.37,2.43
430,Yaonahuac,88,74,65.69,869.44,0.97,19.87,-97.45
431,Maceio,0,88,71.58,1016.0,1.5,-9.67,-35.74
432,Chipata,12,69,63.71,909.4,2.32,-13.64,32.65
433,Banjar,48,95,72.26,988.27,1.42,-7.37,108.54
434,Samarai,56,100,77.75,1023.13,8.82,-10.62,150.67
435,Pahrump,20,42,82.27,1010.0,5.1,36.21,-115.98
436,Hvide Sande,92,81,49.06,1006.0,9.3,56.01,8.13
437,Khorramabad,0,70,44.0,829.07,0.82,33.48,48.35
438,Sao Felix do Xingu,20,83,78.65,990.95,1.37,-6.64,-51.99
439,Cockburn Town,56,100,83.06,1026.05,3.92,21.46,-71.14
440,Tucurui,0,82,80.45,1013.73,0.92,-3.77,-49.67
441,Gladstone,0,69,72.44,1020.05,5.32,-23.84,151.26
442,Nerchinskiy Zavod,0,59,40.58,934.45,1.02,51.31,119.61
443,Yanam,0,81,79.73,1022.24,1.47,16.73,82.22
444,Ust-Uda,48,87,43.46,956.9,4.12,54.17,103.03
445,Gat,36,95,75.95,1023.7,2.57,14.69,-16.54
446,Ouadda,44,97,66.5,948.15,2.92,8.07,22.4
447,Litovko,32,69,50.75,1010.4,2.37,49.24,135.18
448,Ngawen,24,89,76.85,1013.65,1.97,-7.02,111.3
449,Goderich,68,95,55.43,999.95,5.02,43.74,-81.71
450,Saint George,0,87,57.18,1017.0,1.0,39.45,22.34
451,Emilio Carranza,36,85,76.67,979.52,3.52,19.97,-96.61
452,Gijon,0,81,51.78,1027.0,2.1,43.54,-5.66
453,Vestmannaeyjar,92,94,41.75,1021.59,0.97,63.44,-20.27
454,Panaba,36,79,80.45,1022.48,2.47,21.28,-88.27
455,Serebryansk,75,93,39.18,1028.0,4.0,49.68,83.3
456,Umm Lajj,8,100,76.94,1010.32,2.12,25.02,37.27
457,Avera,1,81,77.21,1023.0,1.52,33.19,-82.53
458,Atar,44,37,79.37,996.14,1.82,20.52,-13.05
459,Narsaq,76,55,35.58,1014.0,2.1,60.91,-46.05
460,Huilong,56,68,61.1,978.14,1.17,28.89,110.18
461,Yarmouth,20,93,56.26,1025.0,4.6,50.71,-1.5
462,Rypefjord,75,64,37.38,1001.0,10.3,70.63,23.67
463,Poum,64,82,49.49,909.48,0.87,41.28,20.71
464,Elizabeth City,1,76,73.83,1020.0,2.6,36.3,-76.22
465,Mpanda,92,42,72.62,897.97,2.52,-6.34,31.07
466,Poya,32,100,68.39,1020.86,3.87,-21.35,165.16
467,Cervo,76,86,66.05,910.21,0.87,-22.19,-46.24
468,Kharan,0,40,49.49,914.83,1.17,28.58,65.42
469,Monrovia,100,97,75.86,1016.48,1.82,6.33,-10.8
470,Quatre Cocos,40,77,69.78,1020.0,0.5,-20.21,57.76
471,Seoul,0,72,60.19,1023.0,1.0,37.57,126.98
472,Sibolga,24,100,68.66,942.39,0.97,1.74,98.78
473,Mahebourg,40,77,69.78,1020.0,0.5,-20.41,57.7
474,Biak,8,90,79.1,1010.16,2.12,-0.91,122.88
475,Helong,0,75,63.08,973.93,1.52,25.94,116.13
476,Sosua,75,94,78.94,1012.0,2.1,19.77,-70.52
477,Santa Rosa de Aguan,88,100,80.0,1023.62,0.72,15.95,-85.71
478,Kautokeino,0,80,18.26,960.63,1.42,69.01,23.04
479,Tacoronte,36,100,67.49,1021.0,5.1,28.48,-16.41
480,Acari,0,55,75.5,970.93,5.57,-6.44,-36.64
481,Beidao,20,80,37.25,857.85,1.07,34.57,105.89
482,Praia da Vitoria,40,83,69.78,1019.0,7.92,38.73,-27.07
483,Panzhihua,92,99,56.24,840.5,1.07,26.59,101.72
484,Herat,0,26,58.98,1020.0,1.52,34.35,62.22
485,Werkendam,75,87,54.77,1020.0,2.1,51.81,4.9
486,Verin,0,73,41.21,935.59,1.07,41.94,-7.44
487,Richards Bay,92,84,66.77,1015.02,6.12,-28.77,32.06
488,Alofi,75,54,80.58,1017.0,8.2,-19.06,-169.92
489,Taywarah,0,76,29.42,769.17,1.17,33.35,64.42
490,Pangody,76,88,33.29,1016.64,3.42,65.85,74.49
491,Naliya,0,95,70.73,1013.97,2.47,23.26,68.83
492,Qarayeri,40,68,67.98,1016.0,3.1,40.79,46.31
493,Halifax,90,87,52.64,1025.0,5.1,44.65,-63.58
494,Kizukuri,75,59,63.59,1020.0,5.7,40.81,140.39
495,Luoyang,0,65,54.89,991.44,1.82,34.66,112.42
496,Marienburg,0,76,49.98,1014.0,7.7,52.12,9.98
497,Kenora,90,81,50.93,1011.0,3.6,49.76,-94.48
498,Kingsville,48,71,76.21,1017.0,3.32,39.45,-76.42
499,Aksay,12,94,59.57,1020.7,2.82,47.27,39.86
500,Broome,0,76,51.96,1022.0,4.1,52.47,1.45
501,Kupang,20,58,85.98,1014.0,10.3,-10.16,123.6
502,Grand Gaube,40,77,69.78,1020.0,0.5,-20.01,57.66
503,Nhulunbuy,40,55,85.98,1015.0,4.6,-12.18,136.78
504,Tevaitoa,64,100,75.86,1029.21,12.17,-16.78,-151.5
505,Thongwa,20,94,78.78,1012.0,1.5,16.76,96.52
506,Lasa,0,72,70.23,1016.0,5.1,34.92,32.53
507,Agadez,92,27,87.38,968.25,1.92,16.97,7.99
508,Dubai,0,74,80.44,1010.0,2.6,25.27,55.3
509,Tulsipur,0,81,69.11,1003.76,1.37,27.53,82.41
510,Nicoya,40,94,76.98,1009.0,1.5,10.15,-85.45
511,Meadow Lake,40,47,35.58,1011.0,3.1,54.13,-108.44
512,Pandan,56,100,80.09,1022.08,1.52,11.72,122.09
513,Harper,1,74,79.68,1018.0,1.5,30.3,-99.24
514,Lucea,75,78,82.38,1011.0,3.6,18.44,-78.17
515,Along,92,98,62.0,912.0,0.77,28.17,94.8
516,Mae Ramat,75,100,75.18,1013.0,1.12,16.98,98.52
517,Alyangula,0,88,81.8,1027.75,5.07,-13.85,136.42
518,Eyl,48,96,74.69,1013.73,5.92,7.98,49.82
519,Ayan,0,90,40.67,886.3,1.07,40.67,33.6
520,Codrington,0,76,67.58,1009.84,1.22,-28.95,153.24
521,Komsomolskiy,24,86,27.17,999.78,4.57,67.55,63.78
522,Nova college of engg & tech,40,88,80.58,1010.0,1.32,16.59,80.52
523,Ewa Beach,1,65,84.94,1015.0,4.1,21.32,-158.01
524,San Pedro,0,73,50.57,1030.67,2.57,-33.68,-59.66
525,Hofn,80,100,40.85,1016.64,4.42,64.25,-15.21
526,Bengbu,0,84,62.45,1032.13,1.12,32.92,117.38
527,Ponferrada,0,69,40.58,924.16,0.87,42.55,-6.59
528,Lodhikheda,0,78,76.98,1012.0,0.97,21.58,78.83
529,Vao,20,97,42.38,1001.49,3.42,59.1,26.19
530,Selfoss,90,69,39.18,1013.0,2.6,63.94,-21.0
531,Nyurba,92,98,39.59,991.19,3.42,63.29,118.35
532,Baiquan,0,56,50.75,1003.35,1.87,47.61,126.08
533,Kasongo-Lunda,68,99,67.13,950.42,1.17,-6.48,16.82
534,Oga,88,99,70.91,993.87,1.62,8.18,5.65
